listingType,sellingState,hoursToSale,totalSale,releaseYear,processorSpeed,Cores,Memory,storageType
FixedPrice,EndedWithSales,1.1,364.4,2012,2.5,2,16,2
StoreInventory,EndedWithSales,98,1150,2018,3,4,32,2
FixedPrice,EndedWithSales,4.7,199,2014,2.5,2,4,1
FixedPrice,EndedWithSales,6.5,899,2018,3,4,8,2
StoreInventory,EndedWithSales,0.1,813.4,2018,3,4,8,2
StoreInventory,EndedWithSales,26.8,396.95,2012,2.3,4,4,1
Auction,EndedWithSales,120,345.56,2014,2.6,2,8,1
Auction,EndedWithSales,168,236.9,2012,2.5,2,8,1
StoreInventory,EndedWithSales,0.8,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,0.3,1299,2018,3,4,64,2
Auction,EndedWithSales,120,900.7,2018,3,4,16,2
FixedPrice,EndedWithoutSales,15597.3,330.19,2014,2.5,2,4,1
FixedPrice,EndedWithSales,160.8,285.95,2014,1.4,2,4,1
FixedPrice,EndedWithSales,57.7,364.4,2012,2.5,2,16,2
Auction,EndedWithSales,120,1635.2,2018,3.2,4,32,2
Auction,EndedWithSales,168,305.22,2014,1.4,2,4,1
Auction,EndedWithSales,0.1,996.1,2018,3,4,64,2
Auction,EndedWithSales,168,364.5,2014,2.6,2,8,1
Auction,EndedWithSales,168,624.22,2018,3.6,4,8,2
StoreInventory,EndedWithSales,911.7,967,2018,3,4,8,2
FixedPrice,EndedWithSales,76.9,299.99,2014,1.4,2,4,1
StoreInventory,EndedWithSales,4.2,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,1.1,350,2012,2.3,4,8,1
FixedPrice,EndedWithSales,2662.6,245.98,2014,1.6,2,4,1
StoreInventory,EndedWithSales,9089.2,687.27,2012,2.6,4,16,2
FixedPrice,EndedWithoutSales,12156.5,286.39,2014,1.4,2,4,1
FixedPrice,EndedWithSales,2172.8,340.75,2012,2.5,2,16,1
Auction,EndedWithSales,120,488,2014,1.4,2,4,1
StoreInventory,EndedWithSales,52.5,1363.25,2018,3.2,4,64,2
StoreInventory,EndedWithSales,0.3,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,0.7,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,68.4,817.14,2012,2.6,4,16,2
FixedPrice,EndedWithSales,0.9,319.99,2014,2.6,2,8,1
FixedPrice,EndedWithSales,40.1,639.95,2012,2.6,4,16,2
StoreInventory,EndedWithSales,1842.4,240,2014,1.4,2,4,1
Auction,EndedWithSales,168,237.25,2014,1.4,2,4,1
Auction,EndedWithSales,120,380,2014,2.6,2,8,1
Auction,EndedWithSales,168,329.2,2014,2.6,2,8,1
Auction,EndedWithSales,4.2,162.95,2014,2.6,2,8,1
FixedPrice,EndedWithSales,1218.5,904.95,2018,3,4,8,2
StoreInventory,EndedWithSales,935.1,271,2014,1.4,2,4,1
FixedPrice,EndedWithSales,3.4,400,2014,2.6,2,8,1
StoreInventory,EndedWithSales,26,382.5,2014,2.6,2,8,2
FixedPrice,EndedWithSales,23,290.22,2014,1.4,2,4,1
StoreInventory,EndedWithSales,599.2,599,2012,2.3,4,16,4
StoreInventory,EndedWithoutSales,2291.5,999,2018,3.6,4,64,2
StoreInventory,EndedWithSales,18.4,1285,2018,3.2,4,32,2
FixedPrice,EndedWithSales,1668.2,290,2014,1.4,2,4,1
FixedPrice,EndedWithSales,2514.2,499,2012,2.3,4,4,1
Auction,EndedWithSales,168,1690,2018,3.6,4,8,2
FixedPrice,EndedWithSales,717.7,274.99,2014,2.5,2,4,1
StoreInventory,EndedWithSales,14.2,349.99,2014,2.6,2,8,1
FixedPrice,EndedWithSales,20,339.4,2014,2.6,2,8,1
StoreInventory,EndedWithSales,88.1,396.95,2012,2.3,4,4,1
FixedPrice,EndedWithSales,3.9,1100,2018,3.2,4,64,2
Auction,EndedWithSales,168,206.5,2012,2.5,2,4,1
Auction,EndedWithSales,24,116,2014,2.5,2,4,1
Auction,EndedWithSales,67.8,326.7,2012,2.5,2,16,1
Auction,EndedWithSales,168,324.2,2014,2.6,2,8,1
Auction,EndedWithSales,168,634.4,2014,3,2,16,1
StoreInventory,EndedWithSales,284.3,385,2012,2.5,2,16,2
StoreInventory,EndedWithSales,604.1,394.99,2014,2.6,2,16,1
FixedPrice,EndedWithSales,308.9,310,2012,2.5,2,4,2
Auction,EndedWithSales,72,330,2014,2.6,2,4,1
FixedPrice,EndedWithSales,12616.7,279.99,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.1,450,2018,3.6,4,8,2
FixedPrice,EndedWithSales,595.1,242.01,2014,1.4,2,4,1
FixedPrice,EndedWithSales,12.9,236.3,2012,2.5,2,8,1
Auction,EndedWithSales,167.9,318.3,2014,2.6,2,8,1
StoreInventory,EndedWithSales,561,401,2014,2.6,2,8,1
FixedPrice,EndedWithSales,1.3,200,2012,2.5,2,8,1
FixedPrice,EndedWithSales,6.1,450,2012,2.3,4,4,1
StoreInventory,EndedWithSales,1.6,286.7,2012,2.5,2,8,1
StoreInventory,EndedWithSales,749.2,449.1,2012,2.5,2,16,4
Auction,EndedWithSales,168,810.55,2018,3.6,4,8,2
FixedPrice,EndedWithSales,424.8,381,2012,2.3,4,16,1
StoreInventory,EndedWithSales,73.5,899.99,2018,3,4,8,2
StoreInventory,EndedWithoutSales,8584.4,564,2014,3,2,16,1
Auction,EndedWithSales,120,328,2014,1.4,2,8,2
Auction,EndedWithSales,119.5,162,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.5,1099.95,2018,3.2,4,16,2
Auction,EndedWithoutSales,240,612.95,2018,3.6,4,8,2
StoreInventory,EndedWithSales,41.3,1150,2018,3,4,32,2
FixedPrice,EndedWithSales,12.8,325,2012,2.3,4,4,1
Auction,EndedWithSales,168,295.8,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1530,282,2012,2.5,2,4,1
StoreInventory,EndedWithoutSales,7747.4,564,2014,2.6,2,16,1
StoreInventory,EndedWithSales,644.5,229.95,2012,2.5,2,4,1
Auction,EndedWithSales,120,930,2018,3,4,16,2
StoreInventory,EndedWithSales,689,239.2,2014,1.4,2,4,1
FixedPrice,EndedWithSales,9571.4,38.29,2012,2.3,4,4,1
StoreInventory,EndedWithSales,65.3,765,2018,3.6,4,16,2
StoreInventory,EndedWithSales,40.4,242.49,2012,2.5,2,4,1
FixedPrice,EndedWithSales,34.4,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,708,239.2,2014,1.4,2,4,1
StoreInventory,EndedWithSales,7706.8,474.05,2014,2.6,2,8,2
StoreInventory,EndedWithSales,25.5,80,2014,1.4,2,4,1
Auction,EndedWithSales,96.7,220,2014,1.6,2,4,1
FixedPrice,EndedWithSales,52.2,568.14,2012,2.6,4,16,2
FixedPrice,EndedWithSales,313.6,235.05,2014,1.4,2,4,1
StoreInventory,EndedWithSales,72,237.24,2014,1.4,2,16,1
FixedPrice,EndedWithSales,65.7,299,2012,2.5,2,8,2
FixedPrice,EndedWithSales,39,459.2,2012,2.6,4,4,1
FixedPrice,EndedWithSales,39.3,1663.95,2018,3.2,4,32,2
StoreInventory,EndedWithSales,665,257,2014,1.4,2,4,1
FixedPrice,EndedWithSales,1799.5,649.95,2018,3.6,4,8,2
FixedPrice,EndedWithSales,937,324.98,2014,2.6,2,8,1
FixedPrice,EndedWithSales,1.2,235,2014,2.6,2,4,1
StoreInventory,EndedWithSales,7.6,1865,2018,3.2,4,64,2
Auction,EndedWithSales,120,202.5,2014,2.5,2,16,1
Auction,EndedWithSales,2.1,400,2018,3,4,8,2
StoreInventory,EndedWithSales,34.8,1150,2018,3,4,32,2
Auction,EndedWithSales,168,225.7,2014,1.4,2,4,1
FixedPrice,EndedWithSales,1.6,280,2014,2.6,2,8,1
Auction,EndedWithSales,120,222.7,2012,2.5,2,8,1
StoreInventory,EndedWithSales,2.5,286.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,2321,362.98,2014,2.6,2,8,1
StoreInventory,EndedWithSales,0.6,249.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,54.8,206.99,2014,2.5,2,4,1
FixedPrice,EndedWithSales,68.4,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,1.1,269.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,3.1,249.99,2014,2.6,2,8,2
Auction,EndedWithSales,168,325,2014,2.6,2,8,2
StoreInventory,EndedWithSales,2.2,259.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,18.6,1165,2018,3,4,32,2
StoreInventory,EndedWithSales,1.4,249.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,615,242.54,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1.6,269.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,0.5,259.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,1858.2,244.19,2014,1.4,2,4,1
FixedPrice,EndedWithSales,142.4,1380,2018,3.2,4,32,2
Auction,EndedWithSales,168,199.75,2012,2.3,4,4,1
StoreInventory,EndedWithSales,0.1,269.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,86.5,229.99,2014,1.4,2,4,1
