listingType,sellingState,hoursToSale,totalSale,releaseYear,processorSpeed,Cores,Memory,storageType
Auction,EndedWithSales,120,374,2014,1.4,2,4,1
Auction,EndedWithSales,120,360,2014,1.4,2,4,1
FixedPrice,EndedWithSales,191.2,299.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,0,700,2018,3,4,8,2
Auction,EndedWithSales,120,366.51,2014,1.4,2,4,1
StoreInventory,EndedWithSales,0.6,600,2018,3.6,4,8,2
StoreInventory,EndedWithSales,730.9,361,2014,2.6,2,8,1
StoreInventory,EndedWithSales,2740,1082.05,2018,3,4,16,2
StoreInventory,EndedWithoutSales,548.4,730.05,2014,3,2,16,1
StoreInventory,EndedWithSales,530.5,220,2014,1.4,2,4,1
Auction,EndedWithSales,120,395,2014,1.4,2,4,1
FixedPrice,EndedWithSales,30.7,230.7,2014,1.4,2,4,1
Auction,EndedWithSales,120,177.55,2012,2.5,2,4,1
Auction,EndedWithSales,120,188.12,2012,2.5,2,4,1
Auction,EndedWithSales,168,193.55,2014,1.4,2,4,1
Auction,EndedWithSales,120,395,2014,1.4,2,4,1
StoreInventory,EndedWithSales,8414.5,557.07,2014,2.6,2,8,2
Auction,EndedWithSales,120,390,2014,1.4,2,4,1
Auction,EndedWithSales,168,157.7,2012,2.5,2,8,1
Auction,EndedWithSales,168,167.7,2012,2.5,2,8,1
FixedPrice,EndedWithSales,47.5,689.4,2018,3.6,4,8,2
Auction,EndedWithSales,168,187.7,2012,2.5,2,8,1
StoreInventory,EndedWithSales,34.6,299,2014,2.6,2,8,1
FixedPrice,EndedWithSales,585.3,249,2012,2.5,2,4,1
Auction,EndedWithSales,168,920,2018,3,4,32,2
StoreInventory,EndedWithSales,43.5,222.95,2014,1.4,2,4,1
StoreInventory,EndedWithSales,2794.9,395.25,2012,2.5,2,16,1
Auction,EndedWithSales,168,871.75,2018,3,4,8,2
Auction,EndedWithSales,168,226.8,2012,2.3,4,4,1
Auction,EndedWithSales,168,2285,2018,3.6,4,64,2
FixedPrice,EndedWithSales,18.5,675,2014,2.6,2,8,1
StoreInventory,EndedWithSales,64.5,1185,2018,3,4,32,2
StoreInventory,EndedWithSales,92.9,1410.75,2018,3.2,4,64,2
FixedPrice,EndedWithSales,26.9,259.99,2014,2.6,2,8,1
Auction,EndedWithSales,0.8,274.7,2014,2.6,2,8,1
StoreInventory,EndedWithSales,76.5,1282.5,2018,3.2,4,64,2
StoreInventory,EndedWithSales,79.1,854.05,2018,3.6,4,32,2
Auction,EndedWithSales,0.1,184.2,2014,2.6,2,8,1
Auction,EndedWithSales,168,222.75,2012,2.5,2,8,1
Auction,EndedWithSales,120,252.5,2014,1.4,2,4,1
FixedPrice,EndedWithSales,4.5,303.95,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1032.1,2038,2018,3.2,4,64,2
FixedPrice,EndedWithSales,575.3,417.69,2014,2.6,2,8,1
FixedPrice,EndedWithSales,0.1,511.55,2014,3,2,16,1
StoreInventory,EndedWithSales,1490.9,249.95,2012,2.5,2,4,1
FixedPrice,EndedWithSales,0,800,2018,3,4,8,2
StoreInventory,EndedWithSales,6.9,222.95,2014,1.4,2,4,1
FixedPrice,EndedWithSales,135,449.95,2012,2.3,4,16,1
FixedPrice,EndedWithSales,4,199,2014,2.5,2,4,1
StoreInventory,EndedWithSales,0,1196.94,2014,1.4,2,4,1
StoreInventory,EndedWithSales,0.6,2792.86,2014,1.4,2,4,1
StoreInventory,EndedWithSales,0.3,1196.94,2014,1.4,2,4,1
FixedPrice,EndedWithSales,14.4,690.95,2018,3.6,4,8,2
FixedPrice,EndedWithSales,3884.5,229.99,2012,2.5,2,4,1
Auction,EndedWithSales,120,390,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1206,385.44,2014,1.4,2,4,1
FixedPrice,EndedWithSales,31.5,1224.98,2018,3.2,4,16,2
Auction,EndedWithSales,120,380,2014,1.4,2,4,1
Auction,EndedWithSales,4.8,123.7,2014,2.5,2,4,1
Auction,EndedWithSales,168,209.2,2012,2.6,4,12,1
Auction,EndedWithSales,168,278.85,2014,2.6,2,8,2
FixedPrice,EndedWithSales,70.3,349.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,28.4,759.05,2018,3.6,4,16,2
StoreInventory,EndedWithSales,670.8,382,2014,2.6,2,8,1
Auction,EndedWithSales,120,395,2014,1.4,2,4,1
Auction,EndedWithSales,120,365,2014,1.4,2,4,1
Auction,EndedWithSales,168,233.5,2012,2.5,2,16,2
StoreInventory,EndedWithSales,259.4,1599,2018,3.2,4,16,2
FixedPrice,EndedWithSales,11.4,495.05,2014,3,2,16,2
FixedPrice,EndedWithSales,208.5,220.89,2014,1.6,2,4,1
StoreInventory,EndedWithSales,33,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,40.3,277.25,2012,2.3,4,4,1
FixedPrice,EndedWithSales,108.5,550,2012,2.6,4,16,1
Auction,EndedWithSales,120,379,2014,1.4,2,4,1
StoreInventory,EndedWithSales,2222.4,337.05,2012,2.5,2,8,4
FixedPrice,EndedWithSales,0.6,74.65,2014,2.5,2,4,1
FixedPrice,EndedWithSales,46,1675,2018,3.2,4,32,2
StoreInventory,EndedWithSales,148.8,1615,2018,3.2,4,32,2
Auction,EndedWithSales,120,320.33,2014,2.6,2,8,2
Auction,EndedWithSales,168,212.5,2014,2.5,2,4,1
StoreInventory,EndedWithSales,336.3,679.88,2012,2.6,4,16,2
StoreInventory,EndedWithSales,1.3,250,2014,2.6,2,16,1
StoreInventory,EndedWithSales,44.1,1185,2018,3,4,32,2
StoreInventory,EndedWithSales,2.7,275,2014,2.6,2,8,1
FixedPrice,EndedWithSales,26.4,199,2014,2.5,2,4,1
StoreInventory,EndedWithSales,127,365,2014,2.8,2,8,3
StoreInventory,EndedWithSales,1799.3,337.25,2014,2.6,2,8,1
Auction,EndedWithSales,168,256.75,2014,2.6,2,8,1
Auction,EndedWithSales,29.2,129.95,2014,1.4,2,4,1
Auction,EndedWithSales,120,385,2014,1.4,2,4,1
FixedPrice,EndedWithSales,1.6,212,2012,2.5,2,16,2
StoreInventory,EndedWithSales,667.7,799,2018,3.6,4,16,2
FixedPrice,EndedWithSales,2199.5,240,2012,2.5,2,8,1
Auction,EndedWithSales,120,339,2014,1.4,2,4,1
Auction,EndedWithSales,168,230.8,2014,1.4,2,4,1
FixedPrice,EndedWithSales,26.1,1400,2018,3.2,4,16,2
Auction,EndedWithSales,12.8,322,2012,2.3,4,8,1
StoreInventory,EndedWithSales,62,220,2012,2.5,2,4,1
Auction,EndedWithSales,120,339,2014,1.4,2,4,1
FixedPrice,EndedWithSales,88.9,240.89,2014,1.6,2,4,1
StoreInventory,EndedWithSales,334.1,325,2012,2.5,2,16,1
Auction,EndedWithSales,168,208.42,2012,2.5,2,8,2
FixedPrice,EndedWithSales,1.2,219,2014,2.6,2,8,1
Auction,EndedWithSales,120,344,2014,1.4,2,4,1
FixedPrice,EndedWithSales,78.2,613.4,2018,3.6,4,8,2
Auction,EndedWithSales,120,344,2014,1.4,2,4,1
StoreInventory,EndedWithSales,332.7,685,2018,3.6,4,8,2
Auction,EndedWithSales,120,339,2014,1.4,2,4,1
StoreInventory,EndedWithSales,116.1,1238,2018,3.2,4,16,2
StoreInventory,EndedWithSales,1027.7,899,2018,3.6,4,32,2
Auction,EndedWithSales,15.3,139.7,2012,2.5,2,8,2
FixedPrice,EndedWithSales,142.5,649,2018,3.6,4,8,2
Auction,EndedWithSales,120,353.98,2014,1.4,2,4,1
Auction,EndedWithSales,0.3,183.2,2012,2.5,2,16,1
Auction,EndedWithSales,120,355,2014,1.4,2,4,1
Auction,EndedWithSales,120,350,2014,1.4,2,4,1
Auction,EndedWithSales,120,290.99,2014,2.6,2,8,2
FixedPrice,EndedWithSales,4.3,350,2012,2.3,4,16,1
StoreInventory,EndedWithSales,293.3,1102.05,2018,3,4,32,2
Auction,EndedWithSales,168,373.15,2012,2.6,4,8,2
Auction,EndedWithSales,120,360,2014,1.4,2,4,1
Auction,EndedWithSales,120,360,2014,1.4,2,4,1
Auction,EndedWithSales,168,265,2014,2.5,2,4,1
FixedPrice,EndedWithSales,61.7,350,2014,2.6,2,8,1
Auction,EndedWithSales,72,1415,2018,3.2,4,32,2
StoreInventory,EndedWithSales,145.7,217.55,2012,2.5,2,4,1
FixedPrice,EndedWithSales,374.8,313.95,2014,1.4,2,4,1
Auction,EndedWithSales,72,490,2018,3.6,4,8,2
Auction,EndedWithSales,168,256.45,2014,2.5,2,4,1
Auction,EndedWithSales,120,365,2014,1.4,2,4,1
Auction,EndedWithSales,0.5,1100.55,2018,3.6,4,16,2
Auction,EndedWithSales,120,357.57,2014,1.4,2,4,1
Auction,EndedWithSales,120,355,2014,1.4,2,4,1
Auction,EndedWithSales,120,355,2014,1.4,2,4,1
FixedPrice,EndedWithSales,1.5,360.44,2012,2.6,4,16,3
Auction,EndedWithSales,120,248.07,2014,2.6,2,8,2
Auction,EndedWithSales,168,218.7,2012,2.5,2,16,1
FixedPrice,EndedWithSales,0.4,279.99,2014,2.6,2,8,1
StoreInventory,EndedWithSales,8248.9,418.5,2012,2.5,2,16,1
Auction,EndedWithSales,120,212.5,2014,1.4,2,4,2
FixedPrice,EndedWithSales,133.4,299.99,2014,2.6,2,8,2
StoreInventory,EndedWithSales,16.5,1099,2018,3,4,16,2
StoreInventory,EndedWithSales,15.9,300,2012,2.3,4,8,1
StoreInventory,EndedWithSales,360.8,425,2012,2.3,4,16,1
FixedPrice,EndedWithSales,221.4,360,2012,2.3,4,4,1
Auction,EndedWithSales,120,359,2014,1.4,2,4,1
Auction,EndedWithSales,120,205.55,2014,1.4,2,4,1
Auction,EndedWithSales,168,168.51,2014,1.4,2,16,1
Auction,EndedWithSales,120,189.27,2012,2.5,2,4,1
Auction,EndedWithSales,120,246.7,2014,1.4,2,4,1
Auction,EndedWithSales,120,224.27,2014,1.4,2,4,1
StoreInventory,EndedWithSales,362.7,229.33,2014,1.4,2,4,1
FixedPrice,EndedWithSales,355.6,250,2014,2.5,2,4,1
StoreInventory,EndedWithSales,315.6,1022.07,2018,3,4,16,2
Auction,EndedWithSales,240,234,2014,2.6,2,8,1
StoreInventory,EndedWithoutSales,1002.3,1096.45,2014,3,2,16,2
StoreInventory,EndedWithSales,258.3,675,2018,3.6,4,8,2
StoreInventory,EndedWithSales,7877.7,883.5,2014,3,2,16,4
Auction,EndedWithSales,0.3,340,2012,2.6,4,16,3
Auction,EndedWithSales,0.7,650,2018,3,4,8,2
StoreInventory,EndedWithSales,2548.2,564.99,2012,2.3,4,16,1
FixedPrice,EndedWithSales,66.6,304.2,2014,2.6,2,8,1
Auction,EndedWithSales,120,257.56,2014,2.6,2,8,2
Auction,EndedWithSales,120,280.05,2014,2.6,2,8,2
Auction,EndedWithSales,72,263,2014,3,2,8,2
FixedPrice,EndedWithSales,47.5,213.22,2014,1.4,2,4,1
StoreInventory,EndedWithSales,69.8,349.99,2012,2.3,4,4,1
Auction,EndedWithSales,168,184.5,2014,2.5,2,4,1
Auction,EndedWithSales,72,750,2018,3,4,8,2
Auction,EndedWithSales,72,805,2018,3,4,32,2
StoreInventory,EndedWithSales,605.7,379,2014,2.6,2,8,1
Auction,EndedWithSales,120,359.32,2014,1.4,2,4,1
Auction,EndedWithSales,168,316,2014,1.4,2,8,1
FixedPrice,EndedWithSales,131.4,910.53,2018,3,4,8,2
FixedPrice,EndedWithSales,800.1,445.39,2012,2.3,4,16,4
Auction,EndedWithSales,168,287.55,2012,2.5,2,16,1
StoreInventory,EndedWithSales,172.7,199.99,2012,2.5,2,4,1
StoreInventory,EndedWithSales,1174.9,457,2012,2.3,4,8,4
StoreInventory,EndedWithSales,150.6,380.9,2012,2.6,4,16,4
Auction,EndedWithSales,168,424.4,2014,3,2,16,1
Auction,EndedWithSales,24,212.5,2012,2.5,2,8,1
Auction,EndedWithSales,168,184.94,2014,2.6,2,8,1
Auction,EndedWithSales,168,256.5,2014,1.4,2,4,1
Auction,EndedWithSales,120,364,2014,1.4,2,4,1
Auction,EndedWithSales,120,356,2014,1.4,2,4,1
StoreInventory,EndedWithSales,27.4,387,2014,2.6,2,8,1
Auction,EndedWithSales,120,357.57,2014,1.4,2,4,1
Auction,EndedWithSales,120,361,2014,1.4,2,4,1
Auction,EndedWithSales,120,304,2014,1.4,2,4,1
FixedPrice,EndedWithSales,31.7,899,2018,3,4,8,2
StoreInventory,EndedWithSales,72.7,1410.75,2018,3.2,4,32,2
FixedPrice,EndedWithSales,2.2,289,2014,2.6,2,8,1
FixedPrice,EndedWithSales,1392.6,235.19,2014,1.4,2,4,1
Auction,EndedWithSales,12.1,338.98,2014,1.4,2,4,1
FixedPrice,EndedWithSales,19.1,260.89,2014,1.6,2,16,1
StoreInventory,EndedWithSales,933.5,218,2014,1.4,2,4,1
FixedPrice,EndedWithSales,70.9,375,2014,2.6,2,8,3
FixedPrice,EndedWithSales,24.4,162.25,2014,2.5,2,4,1
FixedPrice,EndedWithSales,971,228.92,2014,2.5,2,4,1
FixedPrice,EndedWithSales,6.6,664.82,2012,2.3,4,4,1
StoreInventory,EndedWithSales,3.7,283.16,2014,2.6,2,8,1
FixedPrice,EndedWithSales,79,411.55,2014,1.4,2,8,1
FixedPrice,EndedWithSales,3.7,523.09,2018,3.6,4,8,2
Auction,EndedWithSales,168,1034.2,2018,3.2,4,32,2
StoreInventory,EndedWithSales,0.1,821,2014,3,2,16,2
StoreInventory,EndedWithSales,4351.6,599,2012,2.3,4,16,4
FixedPrice,EndedWithSales,29,349.99,2014,2.6,2,8,1
StoreInventory,EndedWithSales,2596.2,339.99,2014,1.4,2,4,1
Auction,EndedWithSales,168,199,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1177.9,497.25,2012,2.3,4,16,2
Auction,EndedWithSales,167.9,269.4,2012,2.3,4,4,1
Auction,EndedWithSales,167.9,294.4,2012,2.3,4,4,1
Auction,EndedWithSales,167.9,269.4,2012,2.3,4,4,1
Auction,EndedWithSales,167.9,269.4,2012,2.3,4,4,1
Auction,EndedWithSales,72,400,2014,2.6,2,8,1
Auction,EndedWithSales,168,139.75,2014,1.4,2,4,1
FixedPrice,EndedWithSales,27.4,649,2014,3,2,16,2
Auction,EndedWithSales,168,359.9,2014,2.6,2,8,1
Auction,EndedWithSales,240,659.53,2012,2.6,4,16,3
Auction,EndedWithSales,168,608.15,2018,3.6,4,8,2
Auction,EndedWithSales,168,562.25,2014,3,2,16,2
Auction,EndedWithSales,120,373.26,2012,2.3,4,16,3
Auction,EndedWithSales,168,359.66,2014,2.6,2,8,1
StoreInventory,EndedWithSales,51.4,250,2014,1.4,2,4,1
Auction,EndedWithSales,120,202.7,2014,1.4,2,4,1
Auction,EndedWithSales,120,340,2012,2.3,4,16,2
StoreInventory,EndedWithSales,439.4,2184.05,2018,3.2,4,64,2
StoreInventory,EndedWithSales,19.9,220,2012,2.5,2,4,1
Auction,EndedWithSales,72,119.5,2014,2.5,2,4,1
FixedPrice,EndedWithSales,0.1,1250,2018,3.2,4,16,2
Auction,EndedWithSales,168,285.4,2014,2.6,2,8,1
FixedPrice,EndedWithSales,11.1,350,2012,2.3,4,16,1
Auction,EndedWithSales,120,113.5,2014,1.4,2,4,1
StoreInventory,EndedWithSales,105.6,711,2014,3,2,16,2
FixedPrice,EndedWithSales,1425.9,699,2012,2.6,4,16,2
Auction,EndedWithSales,120,267.25,2012,2.5,2,16,2
StoreInventory,EndedWithSales,56.4,220,2012,2.5,2,4,1
Auction,EndedWithSales,168,328,2012,2.3,4,16,4
FixedPrice,EndedWithSales,15,106.7,2014,2.5,2,4,1
StoreInventory,EndedWithSales,24.6,250,2014,1.4,2,4,1
FixedPrice,EndedWithSales,4,290,2014,2.6,2,8,1
Auction,EndedWithSales,120,366,2014,1.4,2,4,1
Auction,EndedWithSales,168,180,2014,2.5,2,4,1
StoreInventory,EndedWithSales,863.1,633,2018,3.6,4,8,2
Auction,EndedWithSales,120,365.55,2014,1.4,2,4,1
FixedPrice,EndedWithSales,16.3,1716.81,2018,3.2,4,32,2
Auction,EndedWithSales,120,356.22,2014,1.4,2,4,1
Auction,EndedWithSales,120,360.1,2014,1.4,2,4,1
FixedPrice,EndedWithSales,242.2,219,2012,2.5,2,8,2
Auction,EndedWithSales,120,360,2014,1.4,2,4,1
FixedPrice,EndedWithSales,309.3,499.99,2012,2.3,4,16,2
FixedPrice,EndedWithSales,1.5,256.4,2014,2.6,2,16,1
FixedPrice,EndedWithSales,24.7,425,2012,2.3,4,16,1
Auction,EndedWithSales,168,180.5,2014,2.5,2,4,1
Auction,EndedWithSales,168,157.5,2014,2.5,2,4,1
Auction,EndedWithSales,120,358.17,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.3,94.65,2014,2.5,2,4,1
Auction,EndedWithSales,120,357.11,2014,1.4,2,4,1
Auction,EndedWithSales,120,374,2014,1.4,2,4,1
Auction,EndedWithSales,120,418,2014,1.4,2,4,1
Auction,EndedWithSales,120,420,2014,1.4,2,4,1
FixedPrice,EndedWithSales,6.4,214.75,2014,2.5,2,8,1
Auction,EndedWithSales,120,362.66,2014,2.6,2,8,2
FixedPrice,EndedWithSales,201.3,499.99,2012,2.6,4,16,4
FixedPrice,EndedWithSales,51.3,449.95,2012,2.3,4,16,1
StoreInventory,EndedWithSales,0.6,250,2014,1.4,2,4,1
Auction,EndedWithSales,3,161.56,2012,2.3,4,8,1
StoreInventory,EndedWithSales,18,349.99,2012,2.3,4,4,1
FixedPrice,EndedWithSales,1051.2,145,2014,2.6,2,8,1
Auction,EndedWithSales,168,338.28,2012,2.3,4,16,1
StoreInventory,EndedWithSales,117.4,263.65,2014,1.4,2,8,1
FixedPrice,EndedWithSales,168.3,470,2012,2.3,4,16,1
StoreInventory,EndedWithoutSales,148.5,999,2014,3,2,16,2
Auction,EndedWithSales,240,214.35,2014,1.4,2,4,1
StoreInventory,EndedWithSales,210.3,329,2012,2.5,2,16,2
Auction,EndedWithSales,72,125,2014,2.5,2,4,1
FixedPrice,EndedWithSales,256.3,299.99,2012,2.6,4,8,1
Auction,EndedWithSales,168,450,2012,2.6,4,16,2
Auction,EndedWithSales,240,860.2,2018,3,4,16,2
StoreInventory,EndedWithSales,44.3,315,2014,2.6,2,8,1
StoreInventory,EndedWithSales,11.5,220,2012,2.5,2,4,1
FixedPrice,EndedWithSales,1.3,340,2012,2.6,4,16,1
FixedPrice,EndedWithSales,10.8,2404.59,2018,3.2,4,64,2
FixedPrice,EndedWithSales,4.4,1349,2018,3.2,4,16,2
FixedPrice,EndedWithSales,0,749.99,2018,3,4,8,2
FixedPrice,EndedWithSales,516.3,1699,2018,3.2,4,32,2
Auction,EndedWithSales,168,509.2,2012,2.6,4,16,1
Auction,EndedWithSales,168,724.25,2018,3,4,8,2
Auction,EndedWithSales,168,165.65,2014,1.4,2,4,1
Auction,EndedWithSales,168,541,2014,3,2,16,4
FixedPrice,EndedWithSales,599.7,289.99,2014,2.6,2,8,1
Auction,EndedWithSales,168,247.45,2014,1.4,2,4,1
StoreInventory,EndedWithSales,95.1,770,2018,3.6,4,16,2
StoreInventory,EndedWithSales,289.9,213.14,2014,1.4,2,4,1
StoreInventory,EndedWithSales,70.1,1098.95,2018,3,4,32,2
Auction,EndedWithSales,155.9,188.2,2012,2.5,2,4,1
FixedPrice,EndedWithSales,219,250,2014,2.5,2,4,1
FixedPrice,EndedWithSales,91,220,2014,2.5,2,4,1
StoreInventory,EndedWithSales,22.3,349.99,2012,2.3,4,4,1
FixedPrice,EndedWithSales,396.8,217.25,2014,2.5,2,4,1
FixedPrice,EndedWithSales,5.1,600,2018,3.6,4,8,2
Auction,EndedWithSales,168,188.95,2014,1.4,2,4,1
Auction,EndedWithSales,168,219.65,2014,1.4,2,4,1
FixedPrice,EndedWithSales,12.8,269.99,2014,2.6,2,8,1
StoreInventory,EndedWithSales,144.6,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,335.6,209.98,2014,2.5,2,4,1
Auction,EndedWithSales,168,452.94,2012,2.6,4,4,3
StoreInventory,EndedWithSales,444.9,310.8,2014,2.6,2,8,1
FixedPrice,EndedWithSales,81.1,294.5,2014,2.6,2,8,1
StoreInventory,EndedWithSales,796.7,702.05,2012,2.6,4,16,2
Auction,EndedWithSales,120,360,2014,1.4,2,4,1
Auction,EndedWithSales,120,356,2014,1.4,2,4,1
FixedPrice,EndedWithSales,25.3,1595,2018,3.2,4,32,2
Auction,EndedWithSales,120,329,2014,1.4,2,4,1
FixedPrice,EndedWithSales,290.5,299.99,2014,2.6,2,8,2
Auction,EndedWithSales,120,355,2014,1.4,2,4,1
FixedPrice,EndedWithSales,64.1,219.65,2014,2.5,2,4,1
FixedPrice,EndedWithSales,50,668,2018,3.6,4,16,2
Auction,EndedWithSales,168,151.9,2014,2.5,2,4,1
FixedPrice,EndedWithSales,323.4,350,2014,2.8,2,8,1
Auction,EndedWithSales,120,365,2014,1.4,2,4,1
Auction,EndedWithSales,120,360,2014,1.4,2,4,1
Auction,EndedWithSales,120,365,2014,1.4,2,4,1
Auction,EndedWithSales,120,365,2014,1.4,2,4,1
Auction,EndedWithSales,120,365,2014,1.4,2,4,1
Auction,EndedWithSales,24,416.15,2012,2.6,4,16,2
FixedPrice,EndedWithSales,13.6,280.65,2014,1.4,2,4,1
FixedPrice,EndedWithSales,16.3,1416.8,2018,3.2,4,32,2
StoreInventory,EndedWithSales,269.8,718,2014,3,2,16,2
Auction,EndedWithSales,168,572.8,2018,3.6,4,8,2
FixedPrice,EndedWithSales,31.8,600,2018,3.6,4,8,2
Auction,EndedWithSales,240,245.05,2012,2.5,2,8,1
Auction,EndedWithSales,24,175.05,2014,2.5,2,4,1
StoreInventory,EndedWithSales,438,327,2014,1.4,2,4,2
FixedPrice,EndedWithoutSales,1494.1,704.9,2014,2.8,2,8,1
FixedPrice,EndedWithSales,0.5,329.99,2014,2.6,2,8,1
FixedPrice,EndedWithSales,6.3,266.69,2012,2.5,2,8,2
StoreInventory,EndedWithSales,239.6,248.84,2014,1.4,2,4,1
Auction,EndedWithSales,168,370.55,2014,2.6,2,8,2
Auction,EndedWithSales,72,825,2018,3,4,8,2
Auction,EndedWithSales,168,265.41,2014,2.6,2,8,1
Auction,EndedWithSales,120,415.2,2012,2.6,4,4,1
Auction,EndedWithSales,168,203.8,2014,1.4,2,4,1
Auction,EndedWithSales,120,355,2014,1.4,2,4,1
Auction,EndedWithSales,120,387,2014,1.4,2,4,1
Auction,EndedWithSales,120,359,2014,1.4,2,4,1
Auction,EndedWithSales,120,183.14,2014,2.5,2,4,1
FixedPrice,EndedWithSales,0.4,282.85,2014,2.6,2,8,1
Auction,EndedWithSales,168,1384.4,2018,3.2,4,32,2
FixedPrice,EndedWithSales,0.6,375,2012,2.3,4,16,1
Auction,EndedWithSales,168,285,2014,2.6,2,8,1
Auction,EndedWithSales,72,428.15,2012,2.6,4,16,2
Auction,EndedWithSales,120,375,2014,1.4,2,4,1
Auction,EndedWithSales,50.3,361.75,2012,2.6,4,16,2
FixedPrice,EndedWithSales,707.2,374.9,2014,1.4,2,4,1
Auction,EndedWithSales,168,429.2,2012,2.3,4,16,1
Auction,EndedWithSales,120,365,2014,1.4,2,4,1
Auction,EndedWithSales,168,621.55,2018,3.6,4,8,2
Auction,EndedWithSales,120,381,2014,1.4,2,4,1
Auction,EndedWithSales,120,384,2014,1.4,2,4,1
Auction,EndedWithSales,120,389,2014,1.4,2,4,1
Auction,EndedWithSales,120,361.17,2014,1.4,2,4,1
Auction,EndedWithSales,168,209.95,2014,2.5,2,4,1
Auction,EndedWithSales,168,259.16,2014,1.4,2,4,1
Auction,EndedWithSales,120,366.26,2014,1.4,2,4,1
Auction,EndedWithSales,1.3,159.95,2014,2.6,2,8,1
StoreInventory,EndedWithSales,953.6,551.08,2012,2.3,4,16,4
Auction,EndedWithSales,120,361.17,2014,1.4,2,4,1
Auction,EndedWithSales,120,355.11,2014,1.4,2,4,1
Auction,EndedWithSales,120,355.08,2014,1.4,2,4,1
Auction,EndedWithSales,72,1475,2018,3.2,4,32,2
Auction,EndedWithSales,5.9,353,2014,2.6,2,16,1
FixedPrice,EndedWithSales,13,195.7,2014,2.5,2,4,1
StoreInventory,EndedWithSales,22.2,533,2012,2.3,4,16,1
StoreInventory,EndedWithSales,41.2,249.99,2014,1.4,2,16,1
Auction,EndedWithSales,21.3,139.65,2014,2.5,2,4,1
Auction,EndedWithSales,168,609.17,2018,3.6,4,8,2
StoreInventory,EndedWithSales,85.7,291.95,2014,3,2,16,2
StoreInventory,EndedWithSales,2324.3,722.2,2014,3,2,16,1
Auction,EndedWithSales,168,594.4,2014,3,2,16,1
Auction,EndedWithSales,120,640,2018,3.6,4,8,2
Auction,EndedWithSales,168,320.4,2012,2.3,4,4,1
Auction,EndedWithSales,168,373.05,2012,2.3,4,16,1
Auction,EndedWithSales,120,192.55,2012,2.5,2,4,1
Auction,EndedWithSales,120,177.55,2012,2.5,2,4,1
StoreInventory,EndedWithSales,1078.9,221,2014,1.4,2,4,1
Auction,EndedWithSales,120,385,2014,1.4,2,4,1
Auction,EndedWithSales,120,416,2014,1.4,2,4,1
Auction,EndedWithSales,120,376,2014,1.4,2,4,1
Auction,EndedWithSales,120,356,2014,1.4,2,4,1
Auction,EndedWithSales,120,409,2014,1.4,2,4,1
Auction,EndedWithSales,120,409,2014,1.4,2,4,1
FixedPrice,EndedWithSales,1.1,165.7,2012,2.5,2,8,1
FixedPrice,EndedWithoutSales,2852.4,358.52,2014,1.4,2,4,1
FixedPrice,EndedWithSales,12.9,385,2014,2.6,2,8,2
Auction,EndedWithSales,168,173,2014,1.4,2,4,1
Auction,EndedWithSales,168,181.15,2014,2.5,2,4,1
Auction,EndedWithSales,1.1,201.85,2014,2.6,2,8,1
StoreInventory,EndedWithSales,3786.4,699,2014,2.6,2,8,2
FixedPrice,EndedWithSales,111.2,634.91,2018,3.6,4,8,2
StoreInventory,EndedWithSales,1138.9,212,2014,1.4,2,4,1
FixedPrice,EndedWithSales,97.3,911.25,2018,3,4,8,2
Auction,EndedWithSales,31.5,500,2014,3,2,8,4
StoreInventory,EndedWithSales,393,224.99,2014,2.5,2,4,1
StoreInventory,EndedWithSales,4.7,220,2012,2.5,2,4,1
Auction,EndedWithSales,22.1,1319,2018,3.2,4,32,2
FixedPrice,EndedWithSales,1.7,250,2014,1.4,2,4,1
StoreInventory,EndedWithSales,273.4,220,2012,2.5,2,4,1
StoreInventory,EndedWithSales,1558.4,444.98,2012,2.3,4,16,2
FixedPrice,EndedWithSales,1.1,250,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.5,250,2014,1.4,2,4,1
Auction,EndedWithSales,168,1266.79,2018,3.2,4,32,2
StoreInventory,EndedWithSales,50.2,541,2014,2.8,2,8,4
Auction,EndedWithSales,2.4,178.95,2014,2.6,2,8,1
StoreInventory,EndedWithSales,97,1099,2018,3,4,16,2
Auction,EndedWithSales,168,206.9,2014,2.5,2,4,1
Auction,EndedWithSales,120,404,2014,1.4,2,4,1
Auction,EndedWithSales,120,373.9,2014,2.8,2,16,2
Auction,EndedWithSales,168,187.86,2014,1.4,2,4,1
FixedPrice,EndedWithSales,7.6,200,2014,2.5,2,4,1
Auction,EndedWithSales,120,381,2014,1.4,2,4,1
Auction,EndedWithSales,120,356,2014,1.4,2,4,1
Auction,EndedWithSales,120,375,2014,1.4,2,4,1
FixedPrice,EndedWithSales,0.7,300,2012,2.3,4,4,1
FixedPrice,EndedWithSales,37.6,630.91,2018,3.6,4,8,2
Auction,EndedWithSales,168,213.2,2014,2.6,2,8,1
FixedPrice,EndedWithSales,37.6,990,2018,3,4,32,2
FixedPrice,EndedWithSales,19.6,1123.15,2018,3.2,4,16,2
